ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job
115,Heather,Mcghie,5,Female,41,15,65,3,4,116,INTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right arm?,I lost my right arm when I was 23,What happened to your torso?,I lost my torso when I was 41,Do you have any shared friends with Victoria Brewster?,No. Victoria and I don't share any friends,Who were your parents?,My mother was Shelley and my father was Charles,Farmer
116,Jay,Mcghie,5,Male,77,23,75,3,4,115,ENTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 18,What happened to your right arm?,I lost my right arm when I was 21,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Farmer
117,Poppy,Mcrae,5,Female,74,33,84,4,4,123,ESTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I lost my left arm when I was 52,How old was your father when he died?,My father was 84 when he died,Who was your first friend?,My first friend was Jay Mcghie,What is your eldest sibling's age?,My eldest sibling is Allan who was born 81 years old,Farmer
118,Martin,Hewitt,5,Male,76,49,98,1,4,107,ENFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old were you when you married Bonnie?,I married Bonnie when I was 18 and they were 20,How old was your mother when she died?,My mother was 76 when she died,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Farmer
119,Struan,Grierson,6,Male,29,15,65,0,4,133,INFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any shared friends with Bonnie Hewitt?,No. Bonnie and I don't share any friends,Who were your parents?,My mother was Shelley and my father was Charles,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Farmer
120,Wesley,Cheung,6,Male,46,30,81,5,4,149,INTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your father when he died?,My father was 91 when he died,Who was your first friend?,My first friend was Alasdair Skinner,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Joanna who was born 16 years after me,How old was your mother when she died?,My mother was 78 when she died,Farmer
121,Harris,Crombie,6,Male,17,38,83,0,3,Single,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any children?,I'm a little young to be having children don't you think?,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Bruce Gault?,No. Bruce and I don't share any friends,Who were your parents?,My mother was Maisie and my father was Jonathan,Farmer
122,Neil,Brownlie,6,Male,83,42,89,2,4,141,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 49 when he died,Who was your first friend?,My first friend was Jill Rodden,Farmer
123,Sean,Mcrae,7,Male,87,10,56,4,4,117,ESTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left leg?,I lost my left leg when I was 38,What happened to your right arm?,I burned my right arm when I was 42,What happened to your torso?,I lost my torso when I was 87,Do you have any injuries to your head?,I've never had any serious injuries to my head,Farmer
124,Jonathan,Little,7,Male,35,11,58,1,4,132,ENTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your mother when she died?,My mother was 87 when she died,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Brian Bates?,No. Brian and I don't share any friends,Farmer
125,Jax,Ritchie,7,Male,79,13,63,2,4,129,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Who were your parents?,My mother was Catherine and my father was Aaron,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 25 when he died,Hunter
126,Eden,Roy,8,Female,70,13,63,2,4,128,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 30,Who was your first friend?,My first friend was Lindsey Holt,What is your eldest sibling's age?,My eldest sibling is Jax who was born 79 years old,How old was your mother when she died?,My mother was 71 when she died,Farmer
127,Lindsey,Holt,8,Female,89,25,72,0,4,109,ISTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Garry Fuller?,No. Garry and I don't share any friends,Who were your parents?,My mother was Wendy and my father was Alasdair,Housewife
128,Sam,Roy,8,Male,85,29,80,2,4,126,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old were you when you married Eden?,I married Eden when I was 18 and they were 18,What happened to your right arm?,I burned my right arm when I was 59,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Hunter
129,Nova,Ritchie,8,Female,83,36,91,2,4,125,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your father when he died?,My father was 79 when he died,Who was your first friend?,My first friend was Pamela Stanners,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Charley who was born 7 years after me,How old was your mother when she died?,My mother was 77 when she died,Housewife
130,Lindsay,Stanners,9,Female,91,1,51,5,4,131,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Sam Roy?,No. Sam and I don't share any friends,Who were your parents?,My mother was Ava and my father was Jay,Housewife
131,Lennon,Stanners,9,Male,80,12,69,5,4,130,ENFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your left arm?,I burned my left arm when I was 18,What happened to your left leg?,I lost my left leg when I was 68,What happened to your right leg?,I crippled my right leg when I was 70,How many friends do you have?,I have 4 friends,Hunter
132,Caroline,Little,9,Female,78,18,70,1,4,124,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 33,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 70 when he died,Who was your first friend?,My first friend was Julia Hewitt,Housewife
133,Clare,Grierson,10,Female,61,14,64,0,4,119,INTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left leg?,I lost my left leg when I was 21,What happened to your right leg?,I scarred my right leg when I was 34,What happened to your torso?,I lost my torso when I was 61,What is your eldest sibling's age?,My eldest sibling is Brian who was born 71 years old,Farmer
134,Ruairidh,Noon,10,Male,25,26,79,5,4,146,ISTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left leg?,I lost my left leg when I was 23,How old was your mother when she died?,My mother was 78 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Smith
135,Freya,Roy,10,Female,72,29,80,1,4,143,ESFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right arm?,I burned my right arm when I was 54,Do you have any shared friends with Gerald Muldoon?,Yes. We have 1 shared friend, Philip Drummond,Who were your parents?,My mother was Linsey and my father was Benjamin,How many friends do you have?,I have 4 friends,Weaver
136,Jodie,Gault,10,Female,77,34,86,2,4,140,ENFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 44 when he died,Who was your first friend?,My first friend was Jax Ritchie,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Matthew who was born 1 years after me,Housewife
137,Christina,Little,10,Female,75,35,78,5,4,148,ENTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your torso?,I scarred my torso when I was 45,What happened to your left arm?,I scarred my left arm when I was 53,How old was your mother when she died?,My mother was 72 when she died,Do you have any children?,I have 5 wonderful children!,Weaver
138,Faith,Drummond,10,Female,83,44,95,4,4,144,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Lara Main?,No. Lara and I don't share any friends,Who were your parents?,My mother was Kayleigh and my father was Sean,How many friends do you have?,I have 4 friends,Weaver
139,John,Bates,11,Male,18,14,64,0,3,Single,INTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 68 when he died,Who was your first friend?,My first friend was Jacqueline Bates,What is your eldest sibling's age?,My eldest sibling is Brian who was born 71 years old,Farmer
140,Ollie,Gault,11,Male,71,17,66,2,4,136,ENFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old was your mother when she died?,My mother was 75 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Kate Cassidy?,No. Kate and I don't share any friends,Hunter
141,Michelle,Brownlie,11,Female,78,24,68,2,4,122,ISFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who were your parents?,My mother was Hayley and my father was Zak,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 88 when he died,Housewife
142,Douglas,Skinner,11,Male,80,25,72,4,4,151,ISTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Who was your first friend?,My first friend was Eden Brownlie,What is your eldest sibling's age?,My eldest sibling is Evan who was born 31 years old,How old was your mother when she died?,My mother was 73 when she died,Do you have any children?,I have 4 wonderful children!,Hunter
143,Mohammed,Roy,11,Male,67,29,80,1,4,135,ESFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Shelley Grierson?,No. Shelley and I don't share any friends,Who were your parents?,My mother was Linsey and my father was Benjamin,How many friends do you have?,I have 4 friends,Soldier
144,Matthew,Drummond,11,Male,75,34,86,4,4,138,ENFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your left leg?,I crippled my left leg when I was 28,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 44 when he died,Who was your first friend?,My first friend was Ollie Gault,Hunter
145,Conner,Mcdonough,11,Male,21,37,93,0,3,Single,ESTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Millie who was born 7 years after me,How old was your mother when she died?,My mother was 82 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Smith
146,Abby,Noon,11,Female,79,40,88,5,4,134,ISTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Douglas Skinner?,No. Douglas and I don't share any friends,Who were your parents?,My mother was Georgia and my father was Jax,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Weaver
147,Allan,Dryden,11,Male,75,44,95,2,4,152,ENFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Ann?,I married Ann when I was 20 and they were 18,How old was your father when he died?,My father was 79 when he died,Who was your first friend?,My first friend was Martin Hewitt,What is your eldest sibling's age?,My eldest sibling is Faith who was born 83 years old,Soldier
148,Caleb,Little,12,Male,85,11,58,5,4,137,ENTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your mother when she died?,My mother was 87 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Elijah Evans?,No. Elijah and I don't share any friends,Farmer
149,Jasmine,Cheung,12,Female,78,15,65,5,4,120,INTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who were your parents?,My mother was Shelley and my father was Charles,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 92 when he died,Housewife
150,Gregor,Gault,12,Male,49,17,66,5,4,163,ENFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,How old were you when you married Arianna?,I married Arianna when I was 21 and they were 18,What happened to your left leg?,I lost my left leg when I was 38,Who was your first friend?,My first friend was Sam Roy,What is your eldest sibling's age?,My eldest sibling is Ollie who was born 71 years old,Smith
151,Jacqueline,Skinner,12,Female,72,29,80,4,4,142,ISFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 27,How old was your mother when she died?,My mother was 87 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Weaver
152,Ann,Dryden,12,Female,74,41,97,2,4,147,INFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any shared friends with Jacqueline Skinner?,No. Jacqueline and I don't share any friends,Who were your parents?,My mother was Jill and my father was Riley,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Housewife
153,Rebecca,Hewitt,12,Female,86,44,95,2,4,155,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your father when he died?,My father was 79 when he died,Who was your first friend?,My first friend was Kirsteen Muldoon,What is your eldest sibling's age?,My eldest sibling is Faith who was born 83 years old,How old was your mother when she died?,My mother was 93 when she died,Weaver
154,Deborah,Skinner,12,Female,84,45,94,0,4,170,ISTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Douglas Skinner?,No. Douglas and I don't share any friends,Who were your parents?,My mother was Maisie and my father was Garry,Weaver
155,Steven,Hewitt,12,Male,67,49,98,2,4,153,ENFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 76 when he died,Who was your first friend?,My first friend was Jay Mcghie,Soldier
156,Arya,Hosie,13,Female,22,14,64,1,3,158,INTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Brian who was born 71 years old,How old was your mother when she died?,My mother was 78 when she died,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Farmer
157,Jordan,Niven,13,Male,68,16,60,1,4,175,ENTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,Do you have any shared friends with Louie Holt?,No. Louie and I don't share any friends,Who were your parents?,My mother was Eilidh and my father was Samuel,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Soldier
158,Olly,Hosie,13,Male,78,32,85,1,4,156,INFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old were you when you married Arya?,I married Arya when I was 18 and they were 18,What happened to your torso?,I burned my torso when I was 23,What happened to your left leg?,I scarred my left leg when I was 68,How old was your father when he died?,My father was 82 when he died,Hunter
159,Zoe,Noon,13,Female,84,42,89,0,4,182,ISTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left arm?,I crippled my left arm when I was 75,What happened to your torso?,I burned my torso when I was 84,Who was your first friend?,My first friend was Caroline Little,What is your eldest sibling's age?,My eldest sibling is Neil who was born 83 years old,Weaver
160,Joseph,Dryden,13,Male,76,44,95,4,4,164,ENFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your torso?,I crippled my torso when I was 52,How old was your mother when she died?,My mother was 93 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Hunter
161,Sophia,Garner,14,Female,79,5,57,1,4,181,ISFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I lost my left arm when I was 51,Do you have any shared friends with Janet Duncanson?,No. Janet and I don't share any friends,Who were your parents?,My mother was Ashley and my father was Brodie,How many friends do you have?,I have 4 friends,Farmer
162,John,Niven,14,Male,71,16,60,2,4,180,ENTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 18,What happened to your left arm?,I burned my left arm when I was 27,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 81 when he died,Hunter
163,Arianna,Gault,14,Female,82,17,66,5,4,150,ESFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 18,Who was your first friend?,My first friend was Eden Roy,What is your eldest sibling's age?,My eldest sibling is Ollie who was born 71 years old,How old was your mother when she died?,My mother was 75 when she died,Weaver
164,Niamh,Dryden,14,Female,73,22,71,4,4,160,ESFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 24,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Caleb Little?,No. Caleb and I don't share any friends,Weaver
165,Janet,Duncanson,14,Female,78,50,99,2,4,166,ESFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who were your parents?,My mother was Beth and my father was Greig,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 82 when he died,Weaver
166,Lewis,Duncanson,15,Male,85,8,62,2,4,165,ESFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I crippled my torso when I was 30,What happened to your right leg?,I scarred my right leg when I was 38,Who was your first friend?,My first friend was Poppy Mcrae,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Adam who was born 5 years after me,Farmer
167,Thomas,Nelson,15,Male,68,20,73,5,4,186,INFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 19,What happened to your right arm?,I scarred my right arm when I was 43,How old was your mother when she died?,My mother was 76 when she died,Do you have any children?,I have 5 wonderful children!,Hunter
168,David,Mclay,15,Male,25,22,71,5,4,189,ESTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I scarred my torso when I was 17,What happened to your left arm?,I scarred my left arm when I was 22,What happened to your torso?,I lost my torso when I was 25,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Smith
169,Charles,Mcghie,15,Male,16,23,75,0,4,Single,ENTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,Do you have any shared friends with Bonnie Hewitt?,No. Bonnie and I don't share any friends,Who were your parents?,My mother was Alexandra and my father was Harry,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Smith
170,Cameron,Skinner,15,Male,62,25,72,0,4,154,ISTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right arm?,I crippled my right arm when I was 33,How old was your father when he died?,My father was 32 when he died,Who was your first friend?,My first friend was Ann Dryden,What is your eldest sibling's age?,My eldest sibling is Evan who was born 31 years old,Smith
171,Charley,Evans,15,Female,85,36,91,5,4,183,ESFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your mother when she died?,My mother was 77 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with John Niven?,No. John and I don't share any friends,Weaver
172,Sophie,Ferry,15,Female,85,40,88,2,4,194,ISTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 17,Who were your parents?,My mother was Georgia and my father was Jax,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Housewife
173,Erin,Main,16,Female,60,3,54,1,4,191,ISFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 24,What happened to your right leg?,I lost my right leg when I was 36,What happened to your torso?,I lost my torso when I was 60,How old was your father when he died?,My father was 71 when he died,Farmer
174,Kian,Niven,16,Male,84,16,60,2,4,200,ENTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I crippled my torso when I was 26,Who was your first friend?,My first friend was John Bates,What is your eldest sibling's age?,My eldest sibling is Jordan who was born 68 years old,How old was your mother when she died?,My mother was 73 when she died,Smith
175,Leanne,Niven,16,Female,74,18,70,1,4,157,ENFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Lennon Mcdonough?,No. Lennon and I don't share any friends,Who were your parents?,My mother was Frances and my father was Innes,Housewife
176,Anne,Muldoon,16,Female,82,22,71,5,4,177,ESTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 27,What happened to your torso?,I crippled my torso when I was 57,What happened to your left arm?,I burned my left arm when I was 75,How many friends do you have?,I have 4 friends,Weaver
177,Zak,Muldoon,16,Male,81,33,84,5,4,176,ESTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I burned my right leg when I was 42,What happened to your right leg?,I lost my right leg when I was 66,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 84 when he died,Hunter
178,Lesley,Compton,16,Female,84,34,86,2,4,187,ENFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who was your first friend?,My first friend was Lyle Glendinning,What is your eldest sibling's age?,My eldest sibling is Jodie who was born 77 years old,How old was your mother when she died?,My mother was 91 when she died,Do you have any children?,I have 2 wonderful children!,Housewife
179,Adele,Fuller,17,Female,78,9,59,2,4,195,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Jacqueline Skinner?,No. Jacqueline and I don't share any friends,Who were your parents?,My mother was Lena and my father was Ruairidh,How many friends do you have?,I have 4 friends,Farmer
180,Harley,Niven,17,Female,83,11,58,2,4,162,ENTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 71 when he died,Who was your first friend?,My first friend was Niamh Dryden,What is your eldest sibling's age?,My eldest sibling is Jonathan who was born 35 years old,Housewife
181,Gabriel,Garner,17,Male,76,24,68,1,4,161,ISFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Sophia?,I married Sophia when I was 18 and they were 21,How old was your mother when she died?,My mother was 77 when she died,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Soldier
182,Louie,Noon,17,Male,71,26,79,0,4,159,ISTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I scarred my torso when I was 26,What happened to your left arm?,I lost my left arm when I was 59,What happened to your right arm?,I lost my right arm when I was 63,Do you have any shared friends with John Niven?,No. John and I don't share any friends,Smith
183,Charlie,Evans,17,Male,73,27,74,5,4,171,ESFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 16,Who were your parents?,My mother was Carla and my father was Elijah,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Soldier
184,Joanne,Wales,17,Female,71,36,91,1,4,196,ESFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 25,What happened to your left arm?,I scarred my left arm when I was 66,How old was your father when he died?,My father was 79 when he died,Who was your first friend?,My first friend was Martin Hewitt,Housewife
185,Kimberley,Mcghie,18,Female,73,11,58,4,4,188,ENTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Jonathan who was born 35 years old,How old was your mother when she died?,My mother was 87 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Housewife
186,Harper,Nelson,18,Female,73,17,66,5,4,167,ENFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Jodie Gault?,Yes. We have 1 shared friend, Kimberley Mcghie,Who were your parents?,My mother was Ann and my father was Bruce,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Weaver
187,Jackson,Compton,18,Male,77,18,70,2,4,178,ENFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I burned my right arm when I was 31,What happened to your left leg?,I burned my left leg when I was 33,What happened to your left arm?,I burned my left arm when I was 65,How old was your father when he died?,My father was 70 when he died,Hunter
188,Wesley,Mcghie,18,Male,79,23,75,4,4,185,ENTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your torso?,I burned my torso when I was 77,Who was your first friend?,My first friend was Wesley Cheung,What is your eldest sibling's age?,My eldest sibling is Laura who was born 58 years old,How old was your mother when she died?,My mother was 75 when she died,Soldier
189,Millie,Mclay,18,Female,82,37,93,5,4,168,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Gabriel Garner?,No. Gabriel and I don't share any friends,Who were your parents?,My mother was Abbi and my father was Lennon,Housewife
190,Alicia,Roy,18,Female,79,39,87,5,4,192,INFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 93 when he died,Who was your first friend?,My first friend was Clare Grierson,Weaver
191,Archie,Main,18,Male,81,47,96,1,4,173,INFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your torso?,I scarred my torso when I was 23,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 72 when she died,Do you have any children?,I just have the one child,Hunter
192,Grayson,Roy,19,Male,78,29,80,5,4,190,ISFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Joseph Dryden?,No. Joseph and I don't share any friends,Who were your parents?,My mother was Linsey and my father was Benjamin,How many friends do you have?,I have 4 friends,Hunter
193,Elliot,Brewster,19,Male,70,31,82,0,4,199,ENFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I crippled my torso when I was 48,What happened to your right leg?,I crippled my right leg when I was 49,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 78 when he died,Smith
194,Reece,Ferry,19,Male,79,40,88,2,4,172,ISTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your torso?,I burned my torso when I was 29,Who was your first friend?,My first friend was David Mclay,What is your eldest sibling's age?,My eldest sibling is Abby who was born 79 years old,How old was your mother when she died?,My mother was 83 when she died,Soldier
195,Blair,Fuller,19,Male,72,45,94,2,4,179,ISTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Gabriel Garner?,No. Gabriel and I don't share any friends,Who were your parents?,My mother was Maisie and my father was Garry,Hunter
196,Reuben,Wales,19,Male,48,50,99,1,4,184,ESFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I scarred my torso when I was 21,What happened to your left leg?,I scarred my left leg when I was 29,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Smith
197,Adam,Duncanson,20,Male,61,8,62,1,4,202,ESTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 18,How old were you when you married Lucie?,I married Lucie when I was 19 and they were 18,What happened to your torso?,I crippled my torso when I was 41,How old was your father when he died?,My father was 77 when he died,Farmer
198,Ian,Brownlie,20,Male,80,42,89,3,4,214,ISTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,Who was your first friend?,My first friend was Grayson Roy,What is your eldest sibling's age?,My eldest sibling is Neil who was born 83 years old,How old was your mother when she died?,My mother was 88 when she died,Do you have any children?,I have 3 wonderful children!,Hunter
