ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
82,Cerys,Mcneil,64,Female,36,57,55,0,4,86,ESTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 20,Who were your parents?,My mother was Ciara and my father was Anthony,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Housewife,4
83,Ruby,Potter,67,Female,33,47,44,2,4,87,INTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Linda Kavanagh,What is your eldest sibling's age?,My eldest sibling is Sonny who was born in the year 44,How old was your mother when she died?,My mother is actually still alive,Weaver,3
84,Bruce,Kavanagh,70,Male,30,50,51,1,4,79,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 29,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 41 years old when she had me,Do you have any shared friends with Linda Kavanagh?,Yes. We have 1 shared friend. It's Ruby Potter,Farmer,4
85,Neil,Mcneil,70,Male,29,57,55,3,4,80,ESTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Who were your parents?,My mother was Ciara and my father was Anthony,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 60 when he died,Hunter,4
86,Roderick,Mcneil,72,Male,28,57,55,0,4,82,ESTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old were you when you married Cerys?,I married Cerys when I was 18 and they were 26,What happened to your left arm?,I burned my left arm when I was 20,Who was your first friend?,My first friend was Debbie Mcneil,What is your eldest sibling's age?,My eldest sibling is Cerys who was born in the year 64,Hunter,4
87,Craig,Potter,76,Male,24,62,66,2,4,83,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 29 years old when she had me,Do you have any shared friends with Roderick Mcneil?,No. Roderick and I don't share any friends,Farmer,4
88,Cole,Potter,76,Male,24,69,72,0,4,91,INTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Who were your parents?,My mother was Miley and my father was Joshua,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father is actually still alive,Farmer,4
89,Shirley,Mcneil,78,Female,22,57,55,0,4,94,ESTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who was your first friend?,My first friend was Roderick Mcneil,What is your eldest sibling's age?,My eldest sibling is Cerys who was born in the year 64,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I don't have any children,Weaver,4
90,Jackson,Potter,78,Male,22,61,58,0,4,93,INTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old was your mother when she had you?,My mother was 32 years old when she had me,Do you have any shared friends with Peter Syme?,No. Peter and I don't share any friends,Who were your parents?,My mother was Nicole and my father was Sonny,How many friends do you have?,I have 4 friends,Hunter,4
91,Poppy,Potter,78,Female,22,62,66,0,4,88,INTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Ruby Potter,What is your eldest sibling's age?,My eldest sibling is Craig who was born in the year 76,Housewife,4
92,Jill,Mcneil,80,Female,20,57,55,0,4,Single,ESTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 41 years old when she had me,Do you have any shared friends with Cole Potter?,No. Cole and I don't share any friends,Housewife,4
93,Ruth,Potter,80,Female,20,69,72,0,3,90,INTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who were your parents?,My mother was Miley and my father was Joshua,How many friends do you have?,I have 3 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father is actually still alive,Housewife,4
94,Leo,Mcneil,82,Male,18,63,59,0,3,89,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Who was your first friend?,My first friend was Jill Mcneil,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I don't have any children,Farmer,4
95,Katherine,Potter,82,Female,18,69,72,0,4,Single,INTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your mother when she had you?,My mother was 30 years old when she had me,Do you have any shared friends with Linda Kavanagh?,No. Linda and I don't share any friends,Who were your parents?,My mother was Miley and my father was Joshua,How many friends do you have?,I have 4 friends,Farmer,4
96,Jill,Potter,83,Female,17,61,58,0,3,Single,INTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Ruth Potter,What is your eldest sibling's age?,My eldest sibling is Jackson who was born in the year 78,Housewife,4
97,Samantha,Mcneil,83,Female,17,71,77,0,3,Single,ESFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I'm a little young to be having children don't you think?,How old was your mother when she had you?,My mother was 30 years old when she had me,Do you have any shared friends with Morag Syme?,No. Morag and I don't share any friends,Weaver,5
98,Jayden,Mcneil,84,Male,16,65,64,0,4,Single,ISFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Who were your parents?,My mother was Sharon and my father was Charles,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 33 when he died,Hunter,4
99,Catriona,Mcneil,85,Female,15,67,73,0,4,Single,ESTJ,Who was your first friend?,My first friend was Jayden Mcneil,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Ryan who was born 4 years after me,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I'm a little young to be having children don't you think?,How old was your mother when she had you?,My mother was 34 years old when she had me,Child,4
100,Penelope,Mcneil,85,Female,15,71,77,0,3,Single,ESTJ,How long have you been friends with Catriona?,I've been friends with Catriona since I was 10,What happened to your torso?,I scarred my torso when I was 14,Do you have any shared friends with Samantha Mcneil?,No. Samantha and I don't share any friends,Who were your parents?,My mother was Lorraine and my father was Callan,How many friends do you have?,I have 3 friends,Child,5
101,Nicolle,Mcneil,88,Female,12,65,64,0,3,Single,ESFJ,How long have you been friends with Jill?,I've been friends with Jill since I was 10,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 33 when he died,Who was your first friend?,My first friend was Penelope Mcneil,What is your eldest sibling's age?,My eldest sibling is Jayden who was born in the year 84,Child,4
102,Ryan,Mcneil,89,Male,11,67,73,0,4,Single,ESTJ,When were you born?,I was born in the year 89,How long have you been friends with Shirley?,I've been friends with Shirley since I was 1,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I'm a little young to be having children don't you think?,How old was your mother when she had you?,My mother was 38 years old when she had me,Child,4
103,Conor,Potter,90,Male,10,62,66,0,3,Single,ISTP,Do you have any shared friends with Jackson Potter?,No. Jackson and I don't share any friends,Who were your parents?,My mother was Shelley and my father was Norman,How many friends do you have?,I have 3 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father is actually still alive,Child,4
104,Zak,Potter,90,Male,10,69,72,0,4,Single,INTJ,Who was your first friend?,My first friend was Ryan Mcneil,What is your eldest sibling's age?,My eldest sibling is Cole who was born in the year 76,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I'm a little young to be having children don't you think?,How old was your mother when she had you?,My mother was 38 years old when she had me,Child,4
105,Leah,Kavanagh,90,Female,10,79,84,0,2,Single,ISTP,Do you have any shared friends with Katherine Potter?,No. Katherine and I don't share any friends,Who were your parents?,My mother was Linda and my father was Bruce,How many friends do you have?,I don't have any friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father is actually still alive,Child,5
106,Jon,Potter,91,Male,9,69,72,0,2,Single,INTJ,Who was your first friend?,My first friend was Leah Kavanagh,What is your eldest sibling's age?,My eldest sibling is Cole who was born in the year 76,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I'm a little young to be having children don't you think?,How old was your mother when she had you?,My mother was 39 years old when she had me,Child,4
107,Jay,Mcneil,92,Male,8,80,85,0,2,Single,ESTJ,Do you have any shared friends with Ryan Mcneil?,No. Ryan and I don't share any friends,Who were your parents?,My mother was Debbie and my father was Neil,How many friends do you have?,I don't have any friends,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 29 when he died,Child,5
108,Danielle,Potter,94,Female,6,61,58,0,2,Single,INTJ,When were you born?,I was born in the year 94,Do you get along well with Samantha?,I talked to Samantha when I was 1 but we didn't work as friends,Who was your first friend?,My first friend was Jayden Mcneil,What is your eldest sibling's age?,My eldest sibling is Jackson who was born in the year 78,How old was your mother when she died?,My mother is actually still alive,Child,4
109,Arlo,Potter,94,Male,6,62,66,0,2,Single,ISTP,How long have you been friends with Jay?,I've been friends with Jay since I was 1,Do you have any children?,I'm a little young to be having children don't you think?,How old was your mother when she had you?,My mother was 47 years old when she had me,Do you have any shared friends with Jay Mcneil?,No. Jay and I don't share any friends,Who were your parents?,My mother was Shelley and my father was Norman,Child,4
110,Justin,Syme,95,Male,5,76,78,0,2,Single,ENFJ,Do you get along well with Conor?,I talked to Conor when I was 1 but we didn't work as friends,How many friends do you have?,I don't have any friends,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Danielle Potter,Child,4
111,Reuben,Potter,96,Male,4,68,70,0,1,Single,INTP,How long have you been friends with Conor?,I've been friends with Conor since I was 1,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I'm a little young to be having children don't you think?,How old was your mother when she had you?,My mother was 45 years old when she had me,Child,4
112,Carol,Mcneil,96,Female,4,80,85,0,1,Single,ESFJ,Do you have any shared friends with Mirren Syme?,No. Mirren and I don't share any friends,Who were your parents?,My mother was Debbie and my father was Neil,How many friends do you have?,Mirren is my only real friend.,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 29 when he died,Child,5
113,Julia,Potter,96,Female,4,83,87,0,1,Single,ISTP,When were you born?,I was born in the year 96,Who was your first friend?,My first friend was Zak Potter,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Morgan who was born 3 years after me,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I'm a little young to be having children don't you think?,Child,5
114,Mhairi,Potter,97,Female,3,74,81,0,1,Single,ENTP,How old was your mother when she had you?,My mother was 41 years old when she had me,Do you have any shared friends with Zak Potter?,No. Zak and I don't share any friends,Who were your parents?,My mother was Matilda and my father was Muhammad,How many friends do you have?,Zak is my only real friend.,Do you have any siblings?,No. I'm an only child,Child,4
115,Mirren,Syme,97,Female,3,76,78,0,1,Single,INFJ,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Carol Mcneil,What is your eldest sibling's age?,My eldest sibling is Justin who was born in the year 95,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I'm a little young to be having children don't you think?,Child,4
116,Natalie,Mcneil,97,Female,3,80,85,0,1,Single,ESFJ,How old was your mother when she had you?,My mother was 34 years old when she had me,Do you have any shared friends with Justin Syme?,No. Justin and I don't share any friends,Who were your parents?,My mother was Debbie and my father was Neil,How many friends do you have?,Justin is my only real friend.,Do you have any siblings?,Yes. I actually have 2 siblings,Child,5
117,Morgan,Potter,99,Female,1,83,87,0,0,Single,INTP,How old was your father when he died?,My father is actually still alive,Who was your first friend?,I actually don't have any friends yet,What is your eldest sibling's age?,My eldest sibling is Julia who was born in the year 96,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I'm a little young to be having children don't you think?,Child,5
